Book_ID,Issued,Title,Authors,Genres
11,2008-06-27,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",Children's Literature
12,2008-06-25,Through the Looking-Glass,"Carroll, Lewis, 1832-1898",Best Books Ever Listings; Children's Literature
13,2008-06-25,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis, 1832-1898",Children's Literature
16,2008-06-25,Peter Pan,"Barrie, J. M. (James Matthew), 1860-1937",Children's Literature; Movie Books
17,2008-06-25,"The Book of MormonAn Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi","Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844",Christianity; Latter Day Saints
19,2004-06-01,The Song of Hiawatha,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]",Children's Literature; Poetry; Native America
23,2006-01-12,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick, 1818-1895",African American Writers; Slavery
31,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,"Sophocles, 495? BCE-406 BCE; Storr, Francis, 1839-1919 [Translator]",Plays; Best Books Ever Listings; Harvard Classics
32,2008-06-27,Herland,"Gilman, Charlotte Perkins, 1860-1935",Best Books Ever Listings
35,2004-10-02,The Time Machine,"Wells, H. G. (Herbert George), 1866-1946",Movie Books; Science Fiction
36,2004-10-01,The War of the Worlds,"Wells, H. G. (Herbert George), 1866-1946",Movie Books; Science Fiction
41,2008-06-27,The Legend of Sleepy Hollow,"Irving, Washington, 1783-1859",Children's Literature; Harvard Classics
43,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Precursors of Science Fiction; Horror; Movie Books
44,2008-06-27,The Song of the Lark,"Cather, Willa, 1873-1947",Opera
45,2008-06-27,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada
46,2004-08-11,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]",Children's Literature; Christmas
47,2006-03-08,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada
51,2006-03-08,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada
60,2006-03-08,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947",Adventure; Best Books Ever Listings; Movie Books
61,2005-01-25,The Communist Manifesto,"Engels, Friedrich, 1820-1895; Marx, Karl, 1818-1883",Politics; Philosophy; Banned Books from Anne Haight's list
74,2004-07-01,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910",Banned Books from Anne Haight's list; Banned Books List from the American Library Association
76,2004-06-29,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]",Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association
82,2008-06-25,Ivanhoe: A Romance,"Scott, Walter, 1771-1832",Best Books Ever Listings; Historical Fiction
86,2004-07-07,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",Precursors of Science Fiction; Arthurian Legends
95,2006-01-09,The Prisoner of Zenda,"Hope, Anthony, 1863-1933","Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923"
108,2006-03-08,The Return of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930",Detective Fiction
120,2006-02-26,Treasure Island,"Stevenson, Robert Louis, 1850-1894; Rhead, Louis, 1857-1926 [Illustrator]","Children's Literature; Historical Fiction; Best Books Ever Listings; Pirates, Buccaneers, Corsairs, etc."
133,2006-03-08,The Damnation of Theron Ware,"Frederic, Harold, 1856-1898","Bestsellers, American, 1895-1923"
135,2008-06-22,Les Misérables,"Hugo, Victor, 1802-1885; Hapgood, Isabel Florence, 1850-1928 [Translator]",Historical Fiction; Banned Books from Anne Haight's list
137,2006-03-08,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson, 1849-1924",School Stories
140,2006-03-11,The Jungle,"Sinclair, Upton, 1878-1968","Contemporary Reviews; Bestsellers, American, 1895-1923; Banned Books from Anne Haight's list; Banned Books List from the American Library Association"
155,2006-01-12,The Moonstone,"Collins, Wilkie, 1824-1889",Detective Fiction; Mystery Fiction
159,2004-10-14,The Island of Doctor Moreau,"Wells, H. G. (Herbert George), 1866-1946",Science Fiction; Best Books Ever Listings; Movie Books
160,2006-03-11,"The Awakening, and Selected Short Stories","Chopin, Kate, 1850-1904",Banned Books from Anne Haight's list; Banned Books List from the American Library Association
202,2008-07-02,My Bondage and My Freedom,"Douglass, Frederick, 1818-1895",African American Writers; Slavery
203,2006-01-13,Uncle Tom's Cabin,"Stowe, Harriet Beecher, 1811-1896",US Civil War; Slavery; Banned Books from Anne Haight's list
204,2008-07-09,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Detective Fiction
214,2008-07-03,"In the Days When the World Was Wide, and Other Verses","Lawson, Henry, 1867-1922",Australia
215,2008-07-02,The Call of the Wild,"London, Jack, 1876-1916",Animals-Domestic; Adventure; Best Books Ever Listings; Movie Books; Banned Books from Anne Haight's list; Banned Books List from the American Library Association
217,2006-01-16,Sons and Lovers,"Lawrence, D. H. (David Herbert), 1885-1930",Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association
219,2006-01-09,Heart of Darkness,"Conrad, Joseph, 1857-1924",Best Books Ever Listings; Movie Books
225,2008-07-11,At the Back of the North Wind,"MacDonald, George, 1824-1905",Children's Literature
234,2008-07-02,Child Christopher and Goldilind the Fair,"Morris, William, 1834-1896",Fantasy
236,2006-01-16,The Jungle Book,"Kipling, Rudyard, 1865-1936",Scouts; Children's Literature; Movie Books; Contemporary Reviews
